season,site,tree,latitude,longitude,elevation,higth,diameter,volume,distance_to_NN_20km,reproduction,reproduction_prop,est_n_fruits,pre_female,early_female,late_female,early_interph,late_interph,early_male,late_male,total_syconia,synchrony, damaged_syconia,counted_syconia
F2013,96,319,24.01457797,-110.086549,470.01,NA,NA,NA,0.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,96,32,24.03101002,-110.13104,NA,6,5,628.3185307,0.154,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,96,320,24.01450303,-110.086935,472.28,NA,NA,NA,0.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,96,321,24.01429399,-110.087268,475.63,NA,NA,NA,0.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,96,322,24.01433598,-110.087477,490.36,NA,NA,NA,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,96,323,24.01406097,-110.087695,503.27,NA,NA,NA,0.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,96,324,24.01411998,-110.088056,514.61,NA,NA,NA,0.234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,96,325,24.01400004,-110.088205,517.27,NA,NA,NA,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,96,326,24.01397103,-110.088208,517,NA,NA,NA,0.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,96,327NE,24.01382896,-110.088986,495.94,NA,NA,NA,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,96,327NW,24.01387498,-110.089104,504.05,NA,NA,NA,0.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,96,327SW,24.01368898,-110.089024,501.22,NA,NA,NA,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,96,328,24.01381404,-110.088879,498.29,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,96,329,24.01431302,-110.087974,478.08,NA,NA,NA,0.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,96,33,24.03091002,-110.13113,NA,5,6,753.9822369,0.148,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,96,330,24.01390197,-110.087408,501.41,NA,NA,NA,0.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,96,331,24.01357901,-110.090893,549.53,NA,NA,NA,0.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
