season,site,tree,latitude,longitude,elevation,higth,diameter,volume,distance_to_NN_20km,reproduction,reproduction_prop,est_n_fruits,pre_female,early_female,late_female,early_interph,late_interph,early_male,late_male,total_syconia,synchrony, damaged_syconia,counted_syconia
S2013,158,1,29.26153,-114.01678,NA,NA,NA,NA,0.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,2,29.26112004,-114.01699,NA,NA,NA,NA,0.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,3,29.26136001,-114.01676,NA,NA,NA,NA,0.404,NA,NA,NA,3,7,5,13,16,0,0,44,3.811024,NA,NA
S2013,158,4,29.26133,-114.01676,NA,NA,NA,NA,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,5,29.26215998,-114.02082,NA,0.5,0.5,0.523598776,0.062,Yes,0.375,0.196349541,0,0,0,8,8,0,0,16,2,0,60
S2013,158,06A,29.26117997,-114.02113,NA,NA,NA,NA,0.123,NA,NA,NA,0,25,13,0,0,0,0,38,1.818639798,0,60
S2013,158,06B,29.26120997,-114.02114,NA,NA,NA,NA,0.12,NA,NA,NA,1,4,6,15,18,0,0,44,3.215946844,0,60
S2013,158,06C,29.26123001,-114.02115,NA,NA,NA,NA,0.118,Yes,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,07A,29.26117997,-114.02126,NA,NA,NA,NA,0.124,Yes,0.85,NA,0,1,0,20,17,1,3,42,2.52,10,60
S2013,158,07B,29.26120997,-114.02128,NA,NA,NA,NA,0.121,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,8,29.26207004,-114.02159,NA,6,3.5,307.8760801,0.081,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,9,29.26182001,-114.02126,NA,6,3.5,307.8760801,0.071,Yes,0.025,7.696902001,0,0,0,27,13,0,0,40,1.781737194,0,60
S2013,158,10A,29.26199997,-114.02107,NA,2,2,33.51032164,0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,10B,29.26188002,-114.02091,NA,1,5,104.7197551,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,10C,29.26189997,-114.02098,NA,NA,NA,NA,0.075,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,10D,29.26198999,-114.02099,NA,NA,NA,NA,0.071,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,10E,29.26198999,-114.02101,NA,NA,NA,NA,0.072,NA,NA,NA,0,0,0,29,14,0,0,43,1.783027965,0,60
S2013,158,11,29.26209996,-114.02062,NA,NA,NA,NA,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,12,29.26241999,-114.02054,NA,3,3,113.0973355,0.066,Yes,0.975,110.2699021,0,0,0,23,30,4,0,57,2.248442907,0,60
S2013,158,120N,29.266795,-114.022938,919.75,8,8,2144.660585,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,120S,29.26675804,-114.022942,919.24,8,8,2144.660585,0.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,121,29.26644598,-114.02414,899.23,NA,NA,NA,0.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,122,29.26756698,-114.024568,922.12,NA,NA,NA,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,123A,29.26793201,-114.024812,924.75,NA,NA,NA,0.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,123B,29.26795498,-114.024804,926.11,NA,NA,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,125,29.26802304,-114.025108,927.33,NA,NA,NA,0.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,126,29.26828397,-114.025312,946.68,NA,NA,NA,0.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,127,29.26828397,-114.025486,948.52,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,128,29.26739196,-114.025392,932.68,NA,NA,NA,0.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,129,29.26716297,-114.024932,911.32,NA,NA,NA,0.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,13,29.26270002,-114.02058,NA,2,6,301.5928947,0.077,Yes,0.975,294.0530724,40,0,0,0,0,0,0,40,1,NA,NA
S2013,158,130,29.26722198,-114.024911,912.42,NA,NA,NA,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,131,29.26746304,-114.024833,919.03,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,132,29.26710798,-114.024927,910.02,NA,NA,NA,0.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,14,29.26265996,-114.02048,NA,2.5,1,10.47197551,0.079,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,140,29.26677497,-114.02301,860.26,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,141,29.26743597,-114.022894,854.11,NA,NA,NA,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,15,29.26271,-114.02045,NA,2,2,33.51032164,0.085,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,16,29.26231002,-114.02036,NA,NA,NA,NA,0.074,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,17,29.26208999,-114.02021,NA,NA,NA,NA,0.084,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,18,29.26255996,-114.01601,NA,NA,NA,NA,0.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,19,29.26133998,-114.02155,NA,2.25,1.25,14.72621556,0.115,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,20,29.26217004,-114.02134,NA,4,3,150.7964474,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,21,29.26235997,-114.02149,NA,2,5,209.4395102,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,22A,29.26242996,-114.0217,NA,4,3,150.7964474,0.088,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,22B,29.26248,-114.02164,NA,0.5,0.25,0.130899694,0.087,No,0,0,0,0,0,40,0,0,0,40,1,3,60
S2013,158,22C,29.26250003,-114.02168,NA,0.25,0.25,0.065449847,0.086,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,22D,29.26257002,-114.02163,NA,1.5,1.5,14.13716694,0.088,Yes,0.375,5.301437603,2,2,9,20,6,0,0,39,2.897142857,10,60
S2013,158,23,29.26244002,-114.02182,NA,2.63,0.25,0.68853239,0.087,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,24,29.26284998,-114.02185,NA,3,2,50.26548246,0.09,Yes,0.375,18.84955592,7,1,0,9,14,1,6,38,3.967032967,8,60
S2013,158,25,29.26363,-114.02213,NA,3,5,314.1592654,0.102,Yes,0.375,117.8097245,0,0,6,2,4,2,7,21,4.04587156,0,60
S2013,158,26,29.26376,-114.0223,NA,2,3,75.39822369,0.105,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,27,29.26382001,-114.02222,NA,0.5,0.5,0.523598776,0.096,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,28,29.26448998,-114.02298,NA,6.5,4,435.6341813,0.17,Yes,0.975,424.7433268,0,1,4,19,13,2,0,39,2.760435572,17,60
S2013,158,29,29.26468,-114.02277,NA,4,6.5,707.9055446,0.174,Yes,0.975,690.207906,0,0,0,18,20,0,0,38,1.994475138,3,60
S2013,158,30,29.26487999,-114.02213,NA,6.5,5,680.6784083,0.139,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,31,29.26464999,-114.02195,NA,2,2,33.51032164,0.112,Yes,0.85,28.48377339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,32,29.26460003,-114.02191,NA,1,3,37.69911184,0.106,Yes,0.375,14.13716694,8,18,10,2,0,0,0,38,2.93495935,0,60
S2013,158,33,29.26462996,-114.02161,NA,6,4,402.1238597,0.108,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,34,29.26452996,-114.02194,NA,2,2,33.51032164,0.103,Yes,0.975,32.6725636,0,40,0,0,0,0,0,40,1,0,60
S2013,158,35,29.26442997,-114.022,NA,9,5,942.4777961,0.105,Yes,0.0001,0.09424778,0,0,0,0,9,0,0,9,1,0,60
S2013,158,36,29.26428999,-114.02186,NA,6,8,1608.495439,0.091,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,37,29.26418999,-114.02191,NA,5,4,335.1032164,0.092,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,38,29.26349999,-114.02159,NA,7,5,733.0382858,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,39,29.26330998,-114.02132,NA,NA,NA,NA,0.097,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,40,29.26389998,-114.02097,NA,9.5,10,3979.350695,0.12,Yes,0.85,3382.44809,0,0,19,13,8,0,0,40,2.693602694,15,60
S2013,158,41,29.26393996,-114.02099,NA,4,9.5,1512.153264,0.116,Yes,0.85,1285.330274,0,0,0,4,22,9,8,43,2.866666667,0,60
S2013,158,41N,29.26395723,-114.0210456,895.59,2,3,75.39822369,0.111,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,41S,29.26393996,-114.02099,904.96,1.13,2.13,21.47465818,0.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,42,29.26324996,-114.02081,NA,5,0.25,1.308996939,0.103,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,43,29.26303999,-114.0208,NA,6,10,2513.274123,0.097,Yes,0.15,376.9911184,0,0,0,16,4,0,0,20,1.470588,NA,NA
S2013,158,44,29.26254999,-114.02037,NA,NA,NA,NA,0.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,45,29.26241999,-114.02065,NA,0.5,0.5,0.523598776,0.059,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,46,29.26240004,-114.02074,NA,1,2,16.75516082,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,47,29.26241999,-114.02075,NA,1,2,16.75516082,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,48,29.26208999,-114.02079,NA,3,3,113.0973355,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,49,29.26202,-114.02071,NA,3,4,201.0619298,0.067,Yes,0.85,170.9026404,0,0,8,33,0,0,0,41,1.45793582,13,60
S2013,158,51,29.26274001,-114.02057,NA,0.5,0.25,0.130899694,0.081,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,52,29.26281997,-114.02055,NA,4.5,1,18.84955592,0.09,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,53,29.26248997,-114.02028,NA,3,3,113.0973355,0.089,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,54,29.26221748,-114.0212387,883.57,NA,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,55,29.26228889,-114.0211247,878.28,1,1,4.188790205,0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,56,29.26224816,-114.0211494,868.91,1,3,37.69911184,0.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,57,29.26266197,-114.0216302,910.25,6,4,402.1238597,0.088,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,58,29.26378263,-114.022057,961.44,NA,NA,NA,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,59,29.26375958,-114.0224009,921.78,0.75,1.25,4.908738521,0.105,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,60,29.26272911,-114.022545,872.28,2,0.5,2.094395102,0.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,61,29.26301141,-114.022439,879.97,2,4,134.0412866,0.097,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,62,29.26269458,-114.0223847,901.6,1,0.5,1.047197551,0.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,63,29.26263959,-114.0223082,891.74,0.5,0.25,0.130899694,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,64,29.26301485,-114.0221488,913.37,0.5,0.5,0.523598776,0.086,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,65A,29.2631208,-114.0221735,914.81,2,2,33.51032164,0.084,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,65C,29.26305626,-114.0222536,918.66,1,2,16.75516082,0.085,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,66,29.26305911,-114.0223555,911.45,1,1,4.188790205,0.09,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,67,29.26327385,-114.0224962,912.17,2.5,3,94.24777961,0.114,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,68,29.26355188,-114.0225295,914.81,1.25,1.75,16.0352125,0.105,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,69,29.26412587,-114.0224611,916.74,1,0.25,0.261799388,0.109,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,70,29.2649074,-114.0219676,932.12,NA,NA,NA,0.134,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,71,29.26385958,-114.0215988,905.2,3,1,12.56637061,0.086,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,72B,29.26416619,-114.0209989,896.31,1,0.25,0.261799388,0.125,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,72C,29.26417021,-114.0209639,895.83,1,1,4.188790205,0.127,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,72N,29.26418538,-114.0210137,896.31,0.5,0.5,0.523598776,0.123,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,158,72S,29.26417029,-114.0209345,897.27,2,1,8.37758041,0.126,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,1,28.29141003,-113.11168,NA,2,3,75.39822369,0.114,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,2,28.29129998,-113.11175,NA,4,4,268.0825731,0.104,Yes,0.15,40.21238597,0,0,0,0,0,36,8,44,1.423529,NA,NA
S2013,172,3,28.29129,-113.11261,NA,0.25,0.25,0.065449847,0.11,Yes,0.625,0.040906154,4,0,4,12,16,0,5,41,3.678337,NA,NA
S2013,172,4,28.29126997,-113.11265,NA,5,6.5,884.8819308,0.109,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,05A,28.29109998,-113.11246,NA,2.25,1.25,14.72621556,0.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,05B,28.29108004,-113.11246,NA,3.5,2.25,74.22012644,0.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,6,28.29089999,-113.11267,NA,2.83,4.33,222.2546405,0.089,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,7,28.29089999,-113.11289,NA,4.17,5.33,496.2255049,0.092,Yes,0.85,421.7916792,0,1,2,13,10,5,10,41,4.213032581,25,60
S2013,172,8,28.29039004,-113.11262,NA,NA,NA,NA,0.098,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,9,28.28981998,-113.11255,NA,2,3.5,102.62536,0.121,NA,NA,NA,0,0,0,9,16,5,10,40,3.463203463,0,60
S2013,172,10,28.29037998,-113.11216,NA,NA,NA,NA,0.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,11,28.29039004,-113.11215,NA,NA,NA,NA,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,12,28.29040001,-113.11188,NA,4,6,603.1857895,0.095,Yes,0.025,15.07964474,0,0,2,6,9,15,9,41,3.93676815,25,60
S2013,172,13,28.29059003,-113.11161,NA,0.5,0.5,0.523598776,0.082,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,14,28.29092002,-113.11136,NA,13,13,9202.77208,0.097,NA,NA,NA,0,0,0,35,0,0,0,35,1,3,60
S2013,172,15A,28.29073998,-113.11096,NA,11,10,4607.669225,0.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,15B,28.29069003,-113.11096,NA,9,7.5,2120.575041,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,16,28.29070997,-113.11111,NA,NA,NA,NA,0.109,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,17,28.29062004,-113.11144,NA,10,4,670.2064328,0.086,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,18,28.29093997,-113.11169,NA,NA,NA,NA,0.082,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,19,28.29049003,-113.11121,NA,12,12,7238.229474,0.108,Yes,0.375,2714.336053,0,5,3,13,15,0,4,40,3.603603604,14,60
S2013,172,20,28.29020002,-113.1109,NA,5.33,7.67,1313.428834,0.104,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,201,28.29053001,-113.11295,696.84,6,7,1231.50432,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,21,28.29000003,-113.11047,NA,5.5,5.5,696.9099703,0.129,Yes,0.025,17.42274926,0,0,0,4,10,0,24,38,2.086705202,1,60
S2013,172,22,28.28961999,-113.11008,NA,0.5,0.5,0.523598776,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,23,28.28958001,-113.11012,NA,0.75,0.5,0.785398163,0.165,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,24,28.28955998,-113.11012,NA,2.5,1,10.47197551,0.165,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,25,28.29168001,-113.11343,NA,2.17,3.5,111.3485156,0.166,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,26,28.29139997,-113.11299,NA,1,0.75,2.35619449,0.128,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,27,28.29132001,-113.11309,NA,0.5,0.5,0.523598776,0.123,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,28,28.29099999,-113.11334,NA,6,7.5,1413.716694,0.113,Yes,0.0001,0.141371669,0,2,9,15,15,0,0,41,3.142056075,0,60
S2013,172,29,28.29072003,-113.11344,NA,7,3.5,359.1887601,0.107,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,30,28.29066999,-113.1141,NA,4.5,5.5,570.1990666,0.168,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,31,28.29089899,-113.112257,685.77,6,8,1608.495439,0.088,Yes,0.375,603.1857895,0,0,0,0,2,28,9,39,1.750287687,0,60
S2013,172,32,28.29098599,-113.11219,682.49,0.5,0.5,0.523598776,0.091,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,33,28.29086596,-113.11147,682.8,10,10,4188.790205,0.087,NA,NA,NA,0,0,0,0,9,1,0,10,1.219512195,11,60
S2013,172,34,28.29021402,-113.111561,718.29,4,7,821.0028801,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,35,28.29077904,-113.110983,675.22,NA,NA,NA,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,36,28.29091399,-113.104307,654.08,3.75,3.25,165.915362,0.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,37,28.29092598,-113.105194,650.62,5,4,335.1032164,0.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,38,28.29087099,-113.105202,650.67,5,4,335.1032164,0.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,39,28.29074602,-113.103764,654.92,4.5,3,169.6460033,0.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,40,28.29108397,-113.105817,654.9,4,3,150.7964474,0.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,41,28.28933601,-113.105378,654.63,2.5,1.25,16.36246174,0.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,42,28.29084199,-113.105202,660.56,3.5,2,58.64306287,0.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,43,28.289219,-113.105257,658.19,3,3.5,153.93804,0.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,44,28.28917097,-113.105176,661.79,7,6,1055.575132,0.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,45,28.28962603,-113.103873,653.68,4,8,1072.330292,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,46,28.29056103,-113.111305,679.7,NA,NA,NA,0.101,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,47,28.29041602,-113.111066,681.24,7.5,10,3141.592654,0.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,48,28.29023598,-113.111386,701.4,4.5,7,923.6282402,0.082,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,49,28.28974899,-113.11239,704.28,1,0.5,1.047197551,0.112,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,50,28.28972996,-113.111917,707.23,5.5,8,1474.454152,0.11,Yes,0.375,552.920307,0,0,0,8,18,5,7,38,3.125541126,1,60
S2013,172,51,28.28955201,-113.111708,692.08,4,4,268.0825731,0.119,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,52,28.28955101,-113.11156,691.51,4,8,1072.330292,0.116,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,53,28.28925999,-113.111427,680.65,11,15,10367.25576,0.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,54,28.289391,-113.112732,686.14,2,4,134.0412866,0.14,Yes,0.0001,0.013404129,0,0,0,5,26,9,0,40,2.046035806,0,60
S2013,172,55,28.28962997,-113.112719,692.4,4,4,268.0825731,0.131,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,56,28.29021301,-113.113128,694.61,3.25,4.5,275.6747554,0.108,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,57,28.29045097,-113.112969,692.37,1,0.5,1.047197551,0.097,Yes,0.375,0.392699082,0,0,0,0,8,24,12,44,2.469387755,23,60
S2013,172,58,28.28982099,-113.109669,666.28,4.75,3.75,279.7980957,0.202,No,0,0,8,2,8,10,12,0,0,40,4.255319,NA,NA
S2013,172,60,28.28967196,-113.109724,681.75,2,2,33.51032164,0.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,81,28.28952997,-113.11137,701.29,8,3,301.5928947,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,82,28.28932101,-113.111781,690.92,6,4,402.1238597,0.144,NA,NA,NA,0,0,0,0,0,23,17,40,1.95599022,0,60
S2013,172,83,28.28954003,-113.112343,698.24,4,3,150.7964474,0.125,Yes,0.375,56.54866776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,84,28.29030798,-113.112894,707.23,2,3,75.39822369,0.101,No,0,0,0,0,0,10,5,0,26,41,2.098626717,10,60
S2013,172,90,28.29039599,-113.113319,697.73,2.75,1.75,35.27746751,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,91,28.29062498,-113.113426,685.51,1.5,0.75,3.534291735,0.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,92N,28.29009499,-113.113937,699.31,5,4,335.1032164,0.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,172,92S,28.29004101,-113.11388,696.94,1.5,1,6.283185307,0.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2013,112,1,27.56674999,-113.07373,1024.64,3.25,3.5,166.76621,0.788,Yes,0.0001,0.016676621,0,0,0,0,0,0,21,21,1,10,60
S2013,112,02N,27.58008996,-113.07212,NA,4,1,16.75516082,0.809,Yes,0.375,6.283185307,0,0,0,0,2,0,37,39,1.107793154,0,60
S2013,112,02NE,27.58010002,-113.07208,NA,3,1.5,28.27433388,0.812,Yes,0.375,10.60287521,0,0,0,2,1,0,37,40,1.164483261,0,60
